iter	Passed	Remaining
0	0	181
1	1	159
2	2	170
3	3	175
4	4	184
5	5	178
6	6	181
7	7	182
8	8	180
9	9	181
10	10	181
11	11	180
12	12	179
13	13	179
14	14	179
15	15	175
16	16	172
17	16	169
18	17	167
19	18	165
20	19	163
21	19	161
22	20	159
23	21	156
24	22	154
25	22	153
26	23	152
27	24	149
28	25	147
29	26	147
30	26	146
31	27	145
32	28	144
33	29	144
34	30	144
35	31	143
36	32	143
37	33	144
38	34	144
39	36	144
40	37	143
41	38	144
42	39	143
43	40	141
44	41	141
45	41	140
46	42	139
47	43	138
48	44	136
49	45	135
50	45	134
51	46	133
52	47	132
53	48	130
54	49	129
55	49	128
56	50	127
57	51	126
58	52	124
59	53	123
60	53	122
61	54	121
62	55	120
63	55	118
64	56	117
65	57	116
66	58	115
67	58	114
68	59	113
69	60	111
70	61	110
71	61	110
72	62	109
73	63	108
74	64	107
75	65	106
76	65	105
77	66	103
78	67	102
79	67	101
80	68	100
81	69	99
82	69	98
83	70	97
84	71	96
85	72	96
86	73	95
87	74	94
88	74	93
89	75	92
90	76	91
91	76	90
92	77	89
93	78	88
94	78	87
95	79	86
96	80	85
97	80	84
98	81	83
99	82	82
100	83	81
101	83	80
102	84	79
103	85	78
104	85	77
105	86	76
106	87	75
107	87	74
108	88	74
109	89	73
110	90	72
111	90	71
112	91	70
113	92	69
114	93	69
115	94	68
116	95	67
117	95	66
118	96	65
119	97	64
120	98	64
121	98	63
122	99	62
123	100	61
124	101	60
125	102	59
126	102	59
127	103	58
128	104	57
129	105	56
130	105	55
131	106	54
132	107	54
133	108	53
134	108	52
135	109	51
136	110	50
137	111	49
138	111	49
139	112	48
140	113	47
141	114	46
142	114	45
143	115	44
144	116	44
145	116	43
146	117	42
147	118	41
148	118	40
149	119	39
150	120	39
151	121	38
152	121	37
153	122	36
154	123	35
155	124	35
156	124	34
157	125	33
158	126	32
159	126	31
160	127	30
161	128	30
162	129	29
163	129	28
164	130	27
165	131	26
166	132	26
167	132	25
168	133	24
169	134	23
170	134	22
171	135	22
172	136	21
173	136	20
174	137	19
175	138	18
176	138	18
177	139	17
178	140	16
179	141	15
180	142	14
181	143	14
182	144	13
183	144	12
184	145	11
185	146	11
186	147	10
187	148	9
188	149	8
189	150	7
190	151	7
191	152	6
192	152	5
193	153	4
194	154	3
195	155	3
196	156	2
197	157	1
198	158	0
199	159	0
