iter	MultiClass
0	1.457987005
1	1.276873726
2	0.9811718397
3	0.8149748752
4	0.6863568827
5	0.5808856676
6	0.5295752148
7	0.4655281083
8	0.4234658247
9	0.3815112212
10	0.3698225512
11	0.354553917
12	0.313454996
13	0.2930847578
14	0.287656331
15	0.2481960766
16	0.2309953436
17	0.2149145988
18	0.1989128862
19	0.1890877921
20	0.1857374151
21	0.1827549981
22	0.1813071073
23	0.173285854
24	0.1687005906
25	0.1603426346
26	0.1563901668
27	0.1512379425
28	0.1477750813
29	0.141823061
30	0.1376276739
31	0.1283062168
32	0.1235510039
33	0.117402989
34	0.1144255292
35	0.1117865662
36	0.1110038353
37	0.1047730179
38	0.102206235
39	0.09782306188
40	0.09501758788
41	0.09310024887
42	0.08852424195
43	0.08613034777
44	0.08240951747
45	0.08083050634
46	0.08046709037
47	0.08002059774
48	0.07892692387
49	0.07858081089
50	0.07838158759
51	0.07721278757
52	0.07460643747
53	0.07364773061
54	0.07187215777
55	0.07113006848
56	0.07006635389
57	0.06827864057
58	0.06619906173
59	0.06506931175
60	0.06384768111
61	0.06304144622
62	0.06196577728
63	0.06126071473
64	0.06088488261
65	0.05830381527
66	0.05797372911
67	0.0568296747
68	0.05599060534
69	0.05550412946
70	0.05450408705
71	0.05353182822
72	0.05330284177
73	0.05221941639
74	0.05145927832
75	0.05126691264
76	0.04925625682
77	0.04832339197
78	0.04814810599
79	0.04714506295
80	0.04628403341
81	0.04614708501
82	0.0450275397
83	0.04431989824
84	0.04299976825
85	0.04219729591
86	0.041310206
87	0.04081205995
88	0.04008538159
89	0.03950855586
90	0.03833515283
91	0.03774768322
92	0.03746759492
93	0.03646261132
94	0.03637600128
95	0.03608327079
96	0.03600736998
97	0.03573756296
98	0.03498336338
99	0.0346485975
100	0.03365891342
101	0.03307708375
102	0.03284482033
103	0.03270792785
104	0.03204428591
105	0.03158660128
106	0.03110298055
107	0.03077664577
108	0.03024360344
109	0.02956379925
110	0.02916876905
111	0.0286646088
112	0.0281159167
113	0.02750429634
114	0.0269629602
115	0.02666578263
116	0.02645049158
117	0.02616546897
118	0.02601253951
119	0.02552547234
120	0.0250466319
121	0.02494899131
122	0.02425594036
123	0.0238632113
124	0.02366046935
125	0.0233036408
126	0.02308343054
127	0.02292431189
128	0.02261919241
129	0.02257449822
130	0.02253686891
131	0.02246632092
132	0.02224675525
133	0.02208054645
134	0.0215434177
135	0.02151523736
136	0.0213645151
137	0.02105302102
138	0.02089146713
139	0.02079195081
140	0.02049854168
141	0.01997730218
142	0.01981334201
143	0.01967363886
144	0.01957903414
145	0.01945891818
146	0.01935497616
147	0.0192163727
148	0.01901135551
149	0.01887777785
150	0.01854983383
151	0.0185082585
152	0.01848615763
153	0.01837224372
154	0.01825274931
155	0.01813040618
156	0.01792165987
157	0.01782656557
158	0.01777825219
159	0.01765717712
160	0.01762525608
161	0.01740001917
162	0.01712436737
163	0.01687129342
164	0.01661639831
165	0.01659296064
166	0.01643525298
167	0.01623639111
168	0.01620964844
169	0.01600217248
170	0.01583265431
171	0.01579455861
172	0.01566760205
173	0.01561779775
174	0.01542089381
175	0.01533885615
176	0.01523195868
177	0.01513047322
178	0.0151207647
179	0.01498446873
180	0.01479747625
181	0.01478329328
182	0.01470922853
183	0.01450771517
184	0.01441245544
185	0.01425242016
186	0.01405761766
187	0.01394598691
188	0.01388435883
189	0.01386869928
190	0.01376748413
191	0.0137300532
192	0.0137132541
193	0.01364874108
194	0.01358281922
195	0.0134720346
196	0.01340824614
197	0.01339380242
198	0.01324848947
199	0.01317434903
