iter	Passed	Remaining
0	50	10148
1	103	10257
2	157	10332
3	218	10688
4	274	10697
5	322	10442
6	374	10320
7	429	10297
8	482	10231
9	532	10126
10	585	10063
11	639	10012
12	694	9985
13	748	9950
14	802	9895
15	855	9840
16	910	9799
17	961	9721
18	1014	9661
19	1069	9624
20	1121	9563
21	1177	9527
22	1230	9466
23	1282	9406
24	1339	9378
25	1393	9322
26	1447	9274
27	1499	9212
28	1557	9182
29	1609	9118
30	1663	9069
31	1714	9002
32	1768	8952
33	1822	8898
34	1876	8844
35	1928	8785
36	1980	8723
37	2044	8716
38	2102	8680
39	2162	8650
40	2221	8614
41	2278	8569
42	2334	8522
43	2391	8480
44	2448	8434
45	2505	8388
46	2565	8351
47	2623	8307
48	2676	8247
49	2731	8194
50	2782	8130
51	2837	8077
52	2894	8027
53	2948	7971
54	3003	7917
55	3060	7870
56	3118	7822
57	3172	7767
58	3226	7711
59	3276	7644
60	3326	7580
61	3378	7520
62	3430	7459
63	3479	7393
64	3533	7338
65	3584	7277
66	3637	7220
67	3689	7162
68	3743	7106
69	3796	7050
70	3850	6995
71	3904	6941
72	3960	6889
73	4012	6832
74	4064	6774
75	4117	6718
76	4171	6663
77	4223	6606
78	4278	6552
79	4332	6498
80	4385	6442
81	4438	6386
82	4490	6330
83	4542	6273
84	4593	6214
85	4644	6156
86	4696	6099
87	4747	6042
88	4798	5984
89	4848	5926
90	4898	5867
91	4951	5812
92	5003	5757
93	5053	5698
94	5102	5639
95	5153	5583
96	5206	5528
97	5257	5472
98	5308	5415
99	5361	5361
100	5412	5305
101	5463	5249
102	5516	5195
103	5569	5140
104	5624	5089
105	5678	5036
106	5732	4982
107	5784	4927
108	5838	4873
109	5891	4820
110	5954	4774
111	6006	4719
112	6056	4663
113	6107	4607
114	6156	4550
115	6205	4493
116	6257	4438
117	6307	4383
118	6356	4326
119	6404	4269
120	6454	4214
121	6504	4158
122	6558	4105
123	6608	4050
124	6657	3994
125	6708	3939
126	6757	3883
127	6808	3829
128	6862	3776
129	6914	3723
130	6967	3670
131	7021	3617
132	7070	3561
133	7122	3508
134	7179	3456
135	7236	3405
136	7289	3352
137	7342	3298
138	7395	3245
139	7451	3193
140	7506	3140
141	7556	3086
142	7612	3034
143	7665	2980
144	7715	2926
145	7763	2871
146	7810	2816
147	7859	2761
148	7919	2710
149	7976	2658
150	8024	2604
151	8071	2548
152	8119	2494
153	8168	2440
154	8217	2385
155	8265	2331
156	8315	2277
157	8367	2224
158	8417	2170
159	8465	2116
160	8512	2062
161	8561	2008
162	8611	1954
163	8676	1904
164	8735	1852
165	8793	1801
166	8852	1749
167	8910	1697
168	8970	1645
169	9030	1593
170	9086	1541
171	9143	1488
172	9198	1435
173	9256	1383
174	9308	1329
175	9365	1277
176	9420	1224
177	9471	1170
178	9520	1116
179	9569	1063
180	9620	1009
181	9669	956
182	9721	903
183	9773	849
184	9821	796
185	9869	742
186	9918	689
187	9968	636
188	10015	582
189	10064	529
190	10113	476
191	10165	423
192	10216	370
193	10267	317
194	10314	264
195	10362	211
196	10410	158
197	10458	105
198	10505	52
199	10558	0
