iter	Passed	Remaining
0	5	5388
1	9	4533
2	12	4197
3	16	4080
4	20	3991
5	23	3916
6	27	3895
7	31	3900
8	35	3862
9	38	3805
10	42	3782
11	45	3728
12	48	3700
13	52	3682
14	55	3667
15	59	3661
16	62	3635
17	65	3597
18	69	3579
19	72	3548
20	76	3548
21	79	3538
22	83	3539
23	86	3533
24	90	3530
25	94	3528
26	97	3513
27	100	3493
28	103	3467
29	106	3453
30	110	3450
31	113	3447
32	116	3425
33	119	3406
34	123	3408
35	126	3393
36	130	3393
37	133	3385
38	137	3378
39	140	3377
40	143	3363
41	147	3360
42	150	3356
43	154	3353
44	157	3346
45	160	3334
46	164	3332
47	167	3325
48	171	3324
49	175	3334
50	179	3331
51	182	3334
52	186	3333
53	189	3326
54	193	3320
55	196	3310
56	199	3308
57	203	3298
58	206	3295
59	209	3285
60	212	3275
61	216	3275
62	219	3269
63	223	3265
64	226	3263
65	230	3257
66	233	3255
67	237	3251
68	240	3244
69	243	3240
70	247	3234
71	250	3230
72	254	3230
73	257	3225
74	261	3219
75	264	3216
76	267	3209
77	270	3203
78	274	3196
79	277	3189
80	281	3189
81	284	3186
82	288	3185
83	291	3181
84	295	3176
85	298	3171
86	301	3166
87	305	3164
88	309	3164
89	312	3161
90	316	3162
91	320	3161
92	323	3155
93	327	3156
94	331	3159
95	335	3163
96	340	3166
97	343	3165
98	348	3167
99	351	3164
100	355	3165
101	359	3162
102	363	3164
103	367	3163
104	371	3163
105	374	3162
106	378	3160
107	382	3160
108	386	3160
109	390	3161
110	394	3162
111	398	3161
112	402	3158
113	406	3155
114	410	3155
115	413	3151
116	416	3145
117	420	3142
118	424	3140
119	428	3141
120	432	3138
121	435	3134
122	439	3133
123	443	3129
124	446	3124
125	450	3122
126	453	3119
127	457	3116
128	460	3111
129	464	3106
130	468	3106
131	472	3104
132	475	3101
133	479	3098
134	482	3093
135	486	3088
136	489	3084
137	493	3080
138	496	3073
139	499	3070
140	503	3065
141	506	3063
142	510	3058
143	514	3056
144	518	3054
145	521	3052
146	525	3050
147	529	3048
148	533	3045
149	536	3042
150	540	3039
151	544	3037
152	548	3035
153	552	3033
154	555	3030
155	559	3026
156	562	3022
157	566	3018
158	570	3016
159	574	3013
160	577	3008
161	580	3004
162	585	3005
163	589	3003
164	593	3002
165	597	3001
166	601	2998
167	604	2995
168	608	2990
169	611	2987
170	615	2982
171	618	2979
172	622	2973
173	625	2969
174	628	2963
175	632	2962
176	636	2957
177	639	2955
178	643	2951
179	646	2947
180	650	2944
181	654	2940
182	657	2936
183	661	2932
184	664	2928
185	668	2924
186	671	2920
187	675	2916
188	678	2912
189	682	2909
190	686	2905
191	689	2901
192	692	2897
193	696	2893
194	699	2888
195	703	2883
196	706	2878
197	709	2874
198	713	2871
199	716	2866
200	720	2862
201	723	2857
202	726	2852
203	730	2849
204	733	2846
205	737	2841
206	741	2839
207	744	2834
208	747	2829
209	750	2824
210	754	2820
211	758	2818
212	761	2814
213	764	2809
214	768	2805
215	771	2801
216	775	2797
217	779	2794
218	782	2791
219	785	2786
220	789	2782
221	792	2778
222	796	2775
223	799	2770
